event_id,mag,lat,lon,dist,pga,mmi,mmi_roman
eq19,4.1,18.855,99.053,9.13,0.0235639449128475,4.0,IV
eq19,4.1,18.765,99.021,9.33,0.0235639449128475,4.0,IV
eq19,4.1,18.784,99.017,9.42,0.0235639449128475,4.0,IV
eq19,4.1,18.808,99.017,9.58,0.02055242653162037,4.0,IV
eq19,4.1,18.871,99.138,9.62,0.02055242653162037,5.0,V
eq19,4.1,18.761,99.019,9.69,0.02055242653162037,3.0,III
eq19,4.1,18.832,99.024,9.81,0.02055242653162037,3.0,III
eq19,4.1,18.856,99.043,9.89,0.02055242653162037,4.0,IV
eq19,4.1,18.843,99.03,9.95,0.02055242653162037,4.0,IV
eq19,4.1,18.759,99.017,10.01,0.02055242653162037,4.0,IV
eq19,4.1,18.81,99.011,10.21,0.02055242653162037,4.0,IV
eq19,4.1,18.761,99.014,10.23,0.02055242653162037,4.0,IV
eq19,4.1,18.809,99.01,10.28,0.02055242653162037,4.0,IV
eq19,4.1,18.815,99.012,10.29,0.02055242653162037,4.0,IV
eq19,4.1,18.757,99.014,10.37,0.02055242653162037,4.0,IV
eq19,4.1,18.746,99.019,10.41,0.02055242653162037,4.0,IV
eq19,4.1,18.787,99.007,10.43,0.02055242653162037,4.0,IV
eq19,4.1,18.787,99.007,10.43,0.02055242653162037,3.0,III
eq19,4.1,18.696,99.105,10.49,0.02055242653162037,3.0,III
eq19,4.1,18.753,99.014,10.5,0.02055242653162037,3.0,III
eq19,4.1,18.753,99.014,10.5,0.02055242653162037,4.0,IV
eq19,4.1,18.75,99.015,10.57,0.0180658783031465,4.0,IV
eq19,4.1,18.75,99.015,10.57,0.0180658783031465,3.0,III
eq19,4.1,18.738,99.021,10.68,0.0180658783031465,3.0,III
eq19,4.1,18.828,99.013,10.69,0.0180658783031465,4.0,IV
eq19,4.1,18.812,99.005,10.93,0.0180658783031465,3.0,III
eq19,4.1,18.726,99.027,10.98,0.0180658783031465,4.0,IV
eq19,4.1,18.726,99.027,10.98,0.0180658783031465,3.0,III
eq19,4.1,18.752,99.009,11.08,0.0180658783031465,4.0,IV
eq19,4.1,18.727,99.023,11.25,0.0180658783031465,2.0,II
eq19,4.1,18.787,98.997,11.46,0.0180658783031465,4.0,IV
eq19,4.1,18.711,99.036,11.5,0.01599160773293416,4.0,IV
eq19,4.1,18.791,98.997,11.51,0.01599160773293416,4.0,IV
eq19,4.1,18.736,99.202,11.8,0.01599160773293416,4.0,IV
eq19,4.1,18.763,98.997,11.85,0.01599160773293416,4.0,IV
eq19,4.1,18.76,98.997,11.92,0.01599160773293416,4.0,IV
eq19,4.1,18.776,98.991,12.19,0.01599160773293416,4.0,IV
eq19,4.1,18.714,99.021,12.3,0.01599160773293416,4.0,IV
eq19,4.1,18.804,98.99,12.35,0.01599160773293416,4.0,IV
eq19,4.1,18.805,98.989,12.4,0.01599160773293416,4.0,IV
eq19,4.1,18.697,99.041,12.44,0.01599160773293416,3.0,III
eq19,4.1,18.806,98.988,12.54,0.0142452432289189,2.0,II
eq19,4.1,18.84,98.999,12.59,0.0142452432289189,2.0,II
eq19,4.1,18.788,98.986,12.65,0.0142452432289189,3.0,III
eq19,4.1,18.796,98.986,12.68,0.0142452432289189,4.0,IV
eq19,4.1,18.793,98.984,12.86,0.0142452432289189,4.0,IV
